,customer_id,customer_name,customer_segment,order_id,order_date,shipping_city,shipping_state,shipping_region,shipping_country,shipping_postal_code,shipping_date,shipping_mode,order_details_id,product_id,quantity,order_discount,order_profits,order_profit_ratio,order_sales,product_name,product_category,product_subcategory,product_manufacturer
18,776,Valerie Dominguez,Consumer,US-2016-145436,2/28/16,Columbia,Tennessee,South,United States,38401,3/4/16,Standard Class,8842,765,8,0.2, $44.00 ,0.11, $390.00 ,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,Global
19,1,Aaron Bergman,Consumer,CA-2015-156587,3/7/15,Seattle,Washington,West,United States,98103,3/8/15,First Class,1365,417,3,0, $5.00 ,0.02, $243.00 ,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,Carina
20,32,Andrew Allen,Consumer,CA-2017-121671,7/17/17,Springfield,Missouri,Central,United States,65807,7/22/17,Standard Class,4109,417,3,0, $5.00 ,0.02, $243.00 ,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,Carina
21,321,Harold Ryan,Corporate,CA-2015-127131,11/24/15,Seattle,Washington,West,United States,98103,11/30/15,Standard Class,696,417,6,0, $10.00 ,0.02, $486.00 ,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,Carina
22,330,Henry Goldwyn,Corporate,US-2018-122672,11/4/18,Lancaster,Ohio,East,United States,43130,11/9/18,Standard Class,9641,417,3,0.2, $(44.00),-0.23, $194.00 ,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,Carina
23,549,Monica Federle,Corporate,CA-2016-162964,11/12/16,Houston,Texas,Central,United States,77095,11/18/16,Standard Class,3317,417,1,0.2, $(15.00),-0.23, $65.00 ,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,Carina
24,596,Paul Prost,Home Office,US-2017-108504,2/5/17,Smyrna,Georgia,South,United States,30080,2/5/17,Same Day,9010,417,1,0, $2.00 ,0.02, $81.00 ,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,Carina
25,621,Randy Bradley,Consumer,CA-2018-106068,10/23/18,Austin,Texas,Central,United States,78745,10/28/18,Standard Class,5877,417,4,0.2, $(58.00),-0.23, $259.00 ,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,Carina
26,685,Sean Braxton,Corporate,CA-2015-122882,9/7/15,Philadelphia,Pennsylvania,East,United States,19134,9/13/15,Standard Class,565,417,1,0.2, $(15.00),-0.23, $65.00 ,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,Carina
27,1,Aaron Bergman,Consumer,CA-2017-140935,11/10/17,Oklahoma City,Oklahoma,Central,United States,73120,11/12/17,First Class,4691,1392,2,0, $62.00 ,0.28, $222.00 ,Samsung Convoy 3,Technology,Phones,Samsung
28,425,Katherine Nockton,Corporate,CA-2016-109001,3/5/16,Philadelphia,Pennsylvania,East,United States,19120,3/9/16,Standard Class,1901,1392,7,0.4, $(93.00),-0.2, $466.00 ,Samsung Convoy 3,Technology,Phones,Samsung
29,1,Aaron Bergman,Consumer,CA-2017-140935,11/10/17,Oklahoma City,Oklahoma,Central,United States,73120,11/12/17,First Class,4692,1432,2,0, $55.00 ,0.16, $342.00 ,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,Sauder
30,384,John Castell,Consumer,CA-2018-109393,6/30/18,Los Angeles,California,West,United States,90032,7/2/18,Second Class,5996,1432,3,0.15, $5.00 ,0.01, $436.00 ,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,Sauder
31,422,Katherine Ducich,Consumer,US-2016-123218,12/20/16,Chicago,Illinois,Central,United States,60623,12/25/16,Standard Class,8719,1432,3,0.3, $(72.00),-0.2, $359.00 ,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,Sauder
32,469,Liz Carlisle,Consumer,CA-2015-115161,1/31/15,Mission Viejo,California,West,United States,92691,2/2/15,First Class,404,1432,2,0.15, $3.00 ,0.01, $291.00 ,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,Sauder
33,2,Aaron Hawkins,Corporate,CA-2015-113768,5/13/15,Los Angeles,California,West,United States,90004,5/19/15,Standard Class,356,544,2,0, $4.00 ,0.48, $8.00 ,EcoTones Memo Sheets,Office Supplies,Paper,Other
34,375,Jim Kriz,Home Office,CA-2015-147900,9/23/15,Lakewood,Ohio,East,United States,44107,9/28/15,Standard Class,1178,544,9,0.2, $10.00 ,0.35, $29.00 ,EcoTones Memo Sheets,Office Supplies,Paper,Other
35,495,Mark Haberlin,Corporate,US-2015-164763,3/17/15,Jackson,Mississippi,South,United States,39212,3/21/15,Standard Class,8624,544,4,0, $8.00 ,0.48, $16.00 ,EcoTones Memo Sheets,Office Supplies,Paper,Other
36,2,Aaron Hawkins,Corporate,CA-2015-113768,5/13/15,Los Angeles,California,West,United States,90004,5/19/15,Standard Class,357,908,6,0.2, $21.00 ,0.08, $279.00 ,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,Iceberg
37,50,Annie Zypern,Consumer,CA-2015-148586,3/25/15,New York City,New York,East,United States,10009,4/1/15,Standard Class,1189,908,7,0.1, $65.00 ,0.18, $367.00 ,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,Iceberg
38,119,Bryan Mills,Consumer,CA-2015-116568,12/14/15,Deltona,Florida,South,United States,32725,12/20/15,Standard Class,435,908,4,0.2, $14.00 ,0.08, $186.00 ,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,Iceberg
39,156,Christine Sundaresam,Consumer,CA-2018-124296,12/24/18,Lafayette,Louisiana,South,United States,70506,12/28/18,Standard Class,6596,908,4,0, $61.00 ,0.26, $233.00 ,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,Iceberg
40,325,Heather Kirkland,Corporate,CA-2016-109862,10/25/16,Newark,Delaware,East,United States,19711,10/30/16,Standard Class,1936,908,5,0, $76.00 ,0.26, $291.00 ,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,Iceberg
41,601,Pauline Webber,Corporate,CA-2015-125150,5/16/15,Los Angeles,California,West,United States,90036,5/23/15,Standard Class,634,908,5,0.2, $17.00 ,0.08, $233.00 ,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,Iceberg
42,2,Aaron Hawkins,Corporate,CA-2015-122070,4/22/15,Troy,New York,East,United States,12180,4/24/15,Second Class,549,69,3,0.2, $3.00 ,0.34, $10.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
43,25,Allen Armold,Consumer,CA-2017-131065,11/14/17,Atlanta,Georgia,South,United States,30318,11/16/17,Second Class,4405,69,2,0, $4.00 ,0.47, $8.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
44,41,Ann Chong,Corporate,CA-2018-157987,9/2/18,New York City,New York,East,United States,10009,9/6/18,Standard Class,7869,69,8,0.2, $9.00 ,0.34, $26.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
45,160,Christy Brittain,Consumer,CA-2018-111374,2/24/18,Philadelphia,Pennsylvania,East,United States,19134,2/28/18,Standard Class,6062,69,4,0.7, $(4.00),-0.77, $5.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
46,161,Chuck Clark,Home Office,CA-2017-163384,11/10/17,San Francisco,California,West,United States,94122,11/12/17,First Class,5388,69,4,0.2, $4.00 ,0.34, $13.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
47,206,Dave Poirier,Corporate,CA-2017-159009,9/23/17,Seattle,Washington,West,United States,98115,9/27/17,Standard Class,5247,69,4,0.2, $4.00 ,0.34, $13.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
48,444,Kimberly Carter,Corporate,CA-2015-129819,12/13/15,Henderson,Kentucky,South,United States,42420,12/15/15,Second Class,775,69,3,0, $6.00 ,0.47, $12.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
49,490,Maribeth Schnelling,Consumer,CA-2015-120278,11/7/15,Wausau,Wisconsin,Central,United States,54401,11/12/15,Standard Class,503,69,3,0, $6.00 ,0.47, $12.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
50,557,Natalie DeCherney,Consumer,CA-2018-105410,3/19/18,San Francisco,California,West,United States,94110,3/22/18,First Class,5843,69,6,0.2, $7.00 ,0.34, $20.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
51,575,Noel Staavos,Corporate,CA-2016-163895,8/7/16,Boise,Idaho,West,United States,83704,8/11/16,Standard Class,3337,69,1,0.2, $1.00 ,0.34, $3.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
52,602,Penelope Sewall,Home Office,CA-2016-155054,6/13/16,Lewiston,Maine,East,United States,4240,6/19/16,Standard Class,3135,69,2,0, $4.00 ,0.47, $8.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
53,705,Sonia Sunley,Consumer,CA-2017-116540,9/2/17,Madison,Wisconsin,Central,United States,53711,9/2/17,Same Day,3972,69,2,0, $4.00 ,0.47, $8.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
54,747,Thomas Thornton,Consumer,CA-2016-168564,8/8/16,San Francisco,California,West,United States,94109,8/8/16,Same Day,3437,69,2,0.2, $2.00 ,0.34, $7.00 ,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,ACCOHIDE
55,2,Aaron Hawkins,Corporate,CA-2015-122070,4/22/15,Troy,New York,East,United States,12180,4/24/15,Second Class,550,1501,8,0, $121.00 ,0.49, $248.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
56,6,Adam Shillingsburg,Consumer,CA-2018-145877,4/1/18,Springfield,Missouri,Central,United States,65807,4/4/18,Second Class,7452,1501,5,0, $13.00 ,0.47, $28.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
57,60,Arthur Gainer,Consumer,CA-2016-136728,9/13/16,Chicago,Illinois,Central,United States,60623,9/17/16,Second Class,2687,1501,1,0.2, $3.00 ,0.38, $8.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
58,100,Bradley Drucker,Consumer,CA-2016-167696,9/16/16,Newport News,Virginia,South,United States,23602,9/21/16,Standard Class,3419,1501,4,0, $15.00 ,0.47, $31.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
59,110,Brian Moss,Corporate,CA-2016-124107,10/9/16,Ann Arbor,Michigan,Central,United States,48104,10/12/16,Second Class,2334,1501,7,0, $27.00 ,0.47, $58.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
60,115,Bruce Degenhardt,Consumer,CA-2017-165015,2/25/17,Newark,Ohio,East,United States,43055,2/27/17,Second Class,5439,1501,5,0.2, $18.00 ,0.38, $47.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
61,121,Candace McMahon,Corporate,CA-2015-127383,12/31/15,El Paso,Texas,Central,United States,79907,1/5/16,Standard Class,705,1501,2,0.2, $18.00 ,0.36, $50.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
62,146,Chloris Kastensmidt,Consumer,CA-2015-113929,6/16/15,Hempstead,New York,East,United States,11550,6/21/15,Standard Class,364,1501,5,0, $19.00 ,0.47, $41.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
63,149,Chris Selesnick,Corporate,CA-2015-162775,1/13/15,Bossier City,Louisiana,South,United States,71111,1/15/15,Second Class,1473,1501,2,0, $5.00 ,0.47, $11.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
64,172,Clytie Kelty,Consumer,CA-2017-119683,3/12/17,New York City,New York,East,United States,10024,3/16/17,Second Class,4061,1501,3,0, $13.00 ,0.46, $29.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
65,200,Darrin Martin,Consumer,CA-2015-160766,9/14/15,New York City,New York,East,United States,10009,9/14/15,Same Day,1449,1501,7,0, $31.00 ,0.46, $68.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
66,200,Darrin Martin,Consumer,CA-2017-136231,9/5/17,Johnson City,Tennessee,South,United States,37604,9/7/17,Second Class,4551,1501,3,0.2, $8.00 ,0.33, $23.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
67,207,David Bremer,Corporate,CA-2016-101889,12/27/16,Marion,Ohio,East,United States,43302,12/31/16,Standard Class,1721,1501,3,0.2, $7.00 ,0.34, $20.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
68,236,Dorothy Badders,Corporate,CA-2018-104885,3/2/18,Newark,Delaware,East,United States,19711,3/8/18,Standard Class,5819,1501,7,0, $27.00 ,0.47, $58.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
69,250,Edward Hooks,Corporate,CA-2017-135776,12/23/17,Seattle,Washington,West,United States,98103,12/30/17,Standard Class,4540,1501,2,0, $30.00 ,0.49, $62.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
70,273,Eugene Barchas,Consumer,US-2016-153283,11/12/16,New York City,New York,East,United States,10035,11/18/16,Standard Class,8871,1501,2,0, $7.00 ,0.47, $16.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
71,286,Frank Olsen,Consumer,CA-2016-103093,2/3/16,Columbus,Georgia,South,United States,31907,2/7/16,Standard Class,1761,1501,9,0, $35.00 ,0.47, $75.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
72,332,Herbert Flentye,Consumer,CA-2015-153969,9/21/15,San Francisco,California,West,United States,94109,9/25/15,Standard Class,1295,1501,2,0, $7.00 ,0.47, $16.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
73,335,Hunter Lopez,Consumer,CA-2017-140634,10/3/17,Houston,Texas,Central,United States,77095,10/6/17,Second Class,4686,1501,2,0.2, $5.00 ,0.33, $16.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
74,335,Hunter Lopez,Consumer,US-2015-147627,1/20/15,Jonesboro,Arkansas,South,United States,72401,1/26/15,Standard Class,8520,1501,3,0, $11.00 ,0.47, $23.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
75,339,Ivan Liston,Consumer,CA-2018-143063,8/10/18,Columbus,Indiana,Central,United States,47201,8/15/18,Standard Class,7322,1501,6,0, $35.00 ,0.5, $70.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
76,354,Jason Klamczynski,Corporate,CA-2017-158043,1/31/17,Atlantic City,New Jersey,East,United States,8401,2/4/17,Second Class,5205,1501,2,0, $12.00 ,0.5, $23.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
77,367,Jeremy Pistek,Consumer,CA-2018-145310,12/22/18,Port Orange,Florida,South,United States,32127,12/24/18,Second Class,7432,1501,1,0.2, $3.00 ,0.38, $8.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
78,397,Joseph Airdo,Consumer,CA-2018-128335,9/29/18,Mount Vernon,New York,East,United States,10550,10/5/18,Standard Class,6746,1501,3,0, $11.00 ,0.47, $23.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
79,404,Julia West,Consumer,CA-2017-109176,5/9/17,Philadelphia,Pennsylvania,East,United States,19140,5/15/17,Standard Class,3721,1501,1,0.2, $4.00 ,0.38, $9.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
80,409,Justin Deggeller,Corporate,CA-2018-168858,11/19/18,New York City,New York,East,United States,10011,11/23/18,Standard Class,8281,1501,3,0, $8.00 ,0.5, $17.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
81,423,Katherine Hughes,Consumer,CA-2015-127166,5/21/15,Houston,Texas,Central,United States,77070,5/23/15,Second Class,700,1501,6,0.2, $21.00 ,0.38, $56.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
82,427,Katrina Edelman,Corporate,CA-2015-112291,4/3/15,Los Angeles,California,West,United States,90008,4/8/15,Standard Class,330,1501,2,0, $6.00 ,0.5, $11.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
83,446,Kristina Nunn,Home Office,CA-2015-107524,3/2/15,New York City,New York,East,United States,10009,3/8/15,Standard Class,213,1501,2,0, $5.00 ,0.47, $11.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
84,462,Linda Southworth,Corporate,CA-2018-108000,1/12/18,San Francisco,California,West,United States,94110,1/16/18,Standard Class,5947,1501,1,0, $5.00 ,0.5, $10.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
85,464,Lindsay Shagiari,Home Office,US-2016-118766,10/15/16,Dallas,Texas,Central,United States,75217,10/22/16,Standard Class,8697,1501,1,0.2, $2.00 ,0.38, $4.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
86,478,Luke Foster,Consumer,CA-2016-109512,3/5/16,New York City,New York,East,United States,10011,3/5/16,Same Day,1921,1501,3,0, $15.00 ,0.5, $29.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
87,481,Lycoris Saunders,Consumer,CA-2016-118955,6/16/16,Grand Prairie,Texas,Central,United States,75051,6/20/16,Standard Class,2174,1501,3,0.2, $9.00 ,0.33, $29.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
88,494,Mark Cousins,Corporate,CA-2016-161711,11/28/16,New York City,New York,East,United States,10035,12/3/16,Standard Class,3274,1501,8,0, $29.00 ,0.47, $62.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
89,538,Mick Brown,Consumer,CA-2017-142524,9/4/17,Springfield,Missouri,Central,United States,65807,9/8/17,Standard Class,4725,1501,2,0, $8.00 ,0.47, $17.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
90,558,Natalie Fritzler,Consumer,US-2017-157945,9/26/17,Decatur,Illinois,Central,United States,62521,10/1/17,Standard Class,9353,1501,2,0.2, $3.00 ,0.38, $9.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
91,559,Natalie Webber,Consumer,CA-2015-138317,6/21/15,Philadelphia,Pennsylvania,East,United States,19120,6/25/15,Standard Class,956,1501,4,0.2, $8.00 ,0.34, $25.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
92,609,Philip Brown,Consumer,CA-2015-107573,12/12/15,Miami,Florida,South,United States,33178,12/17/15,Standard Class,215,1501,3,0.2, $8.00 ,0.33, $23.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
93,615,Pierre Wener,Consumer,CA-2016-144274,11/23/16,Wilmington,Delaware,East,United States,19805,11/25/16,Second Class,2884,1501,2,0, $8.00 ,0.47, $17.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
94,635,Rick Wilson,Corporate,CA-2018-166093,8/17/18,Brentwood,California,West,United States,94513,8/24/18,Standard Class,8166,1501,2,0, $12.00 ,0.5, $23.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
95,658,Ruben Ausman,Corporate,CA-2015-129091,11/22/15,Columbus,Georgia,South,United States,31907,11/27/15,Standard Class,754,1501,2,0, $5.00 ,0.47, $11.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
96,658,Ruben Ausman,Corporate,US-2018-106145,9/26/18,San Francisco,California,West,United States,94109,9/26/18,Same Day,9486,1501,6,0, $33.00 ,0.46, $72.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
97,659,Ruben Dartt,Consumer,CA-2017-154508,11/16/17,Carlsbad,New Mexico,West,United States,88220,11/20/17,Standard Class,5087,1501,5,0, $13.00 ,0.47, $28.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
98,664,Sally Hughsby,Corporate,US-2018-108245,9/22/18,Pearland,Texas,Central,United States,77581,9/27/18,Standard Class,9511,1501,3,0.2, $5.00 ,0.38, $13.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
99,666,Sally Matthias,Consumer,CA-2015-159625,11/23/15,Scottsdale,Arizona,West,United States,85254,11/28/15,Standard Class,1428,1501,3,0.2, $9.00 ,0.38, $23.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
100,686,Sean Christensen,Consumer,CA-2017-101651,12/24/17,San Jose,California,West,United States,95123,12/30/17,Standard Class,3522,1501,7,0, $19.00 ,0.47, $40.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
101,688,Sean O'Donnell,Consumer,CA-2018-101700,4/23/18,Greeley,Colorado,West,United States,80634,4/26/18,First Class,5679,1501,2,0.2, $7.00 ,0.38, $19.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
102,731,Tamara Chand,Corporate,CA-2015-123498,11/7/15,Houston,Texas,Central,United States,77041,11/9/15,First Class,587,1501,3,0.2, $27.00 ,0.36, $74.00 ,Staple envelope,Office Supplies,Envelopes,Staple envelope
103,2,Aaron Hawkins,Corporate,CA-2015-157644,12/31/15,New York City,New York,East,United States,10035,1/1/16,First Class,1381,220,3,0, $9.00 ,0.46, $19.00 ,Avery 51,Office Supplies,Labels,Avery
104,202,Darrin Van Huff,Corporate,CA-2017-106656,9/23/17,San Diego,California,West,United States,92037,9/26/17,First Class,3658,220,3,0, $9.00 ,0.46, $19.00 ,Avery 51,Office Supplies,Labels,Avery
105,359,Jennifer Braxton,Corporate,US-2015-100853,9/14/15,Chicago,Illinois,Central,United States,60623,9/19/15,Standard Class,8321,220,4,0.2, $7.00 ,0.33, $20.00 ,Avery 51,Office Supplies,Labels,Avery
106,386,John Grady,Corporate,CA-2016-120446,11/16/16,San Diego,California,West,United States,92105,11/18/16,First Class,2217,220,3,0, $9.00 ,0.46, $19.00 ,Avery 51,Office Supplies,Labels,Avery
107,705,Sonia Sunley,Consumer,CA-2017-136287,6/13/17,Wichita,Kansas,Central,United States,67212,6/17/17,Standard Class,4554,220,3,0, $9.00 ,0.46, $19.00 ,Avery 51,Office Supplies,Labels,Avery
108,2,Aaron Hawkins,Corporate,CA-2015-157644,12/31/15,New York City,New York,East,United States,10035,1/1/16,First Class,1382,1604,3,0, $11.00 ,0.33, $35.00 ,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Technology,Accessories,Verbatim
109,84,Berenike Kampe,Consumer,CA-2018-151183,10/14/18,San Francisco,California,West,United States,94110,10/19/18,Standard Class,7621,1604,4,0, $15.00 ,0.33, $46.00 ,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Technology,Accessories,Verbatim
110,131,Carol Darley,Consumer,US-2018-119438,3/18/18,Tyler,Texas,Central,United States,75701,3/23/18,Standard Class,9618,1604,3,0.2, $5.00 ,0.16, $28.00 ,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Technology,Accessories,Verbatim
